model,elements,mean_moving_accuracy,std_moving_accuracy,source
HTM,1067,0.09108910891089109,0.05383080086759677,Cui et al. [58] processed result
HTM,1075,0.09207920792079208,0.05314351247651344,Cui et al. [58] processed result
HTM,1084,0.09207920792079208,0.05314351247651344,Cui et al. [58] processed result
HTM,1092,0.09207920792079208,0.05314351247651344,Cui et al. [58] processed result
HTM,1100,0.09603960396039604,0.05459927001569203,Cui et al. [58] processed result
HTM,1108,0.09603960396039604,0.05459927001569203,Cui et al. [58] processed result
HTM,1116,0.099009900990099,0.05422995618863031,Cui et al. [58] processed result
HTM,1124,0.10396039603960394,0.05777463152829766,Cui et al. [58] processed result
HTM,1133,0.10495049504950493,0.05927378038453769,Cui et al. [58] processed result
HTM,1142,0.10495049504950493,0.05927378038453769,Cui et al. [58] processed result
HTM,1150,0.1079207920792079,0.05931511208217885,Cui et al. [58] processed result
HTM,1159,0.10693069306930691,0.059866203793390006,Cui et al. [58] processed result
HTM,1167,0.10990099009900989,0.06013578074875333,Cui et al. [58] processed result
HTM,1176,0.10990099009900989,0.06013578074875333,Cui et al. [58] processed result
HTM,1185,0.1089108910891089,0.06022537158711109,Cui et al. [58] processed result
HTM,1193,0.10792079207920793,0.061106036135483065,Cui et al. [58] processed result
HTM,1201,0.11287128712871286,0.06311832653667021,Cui et al. [58] processed result
HTM,1210,0.11485148514851484,0.06600330024752063,Cui et al. [58] processed result
HTM,1218,0.11782178217821782,0.06663153013224253,Cui et al. [58] processed result
HTM,1226,0.11683168316831682,0.06755929548210686,Cui et al. [58] processed result
HTM,1234,0.11683168316831682,0.06755929548210686,Cui et al. [58] processed result
HTM,1243,0.11584158415841583,0.06788498897592851,Cui et al. [58] processed result
HTM,1251,0.1198019801980198,0.07118391868522254,Cui et al. [58] processed result
HTM,1259,0.12178217821782178,0.07356775440895019,Cui et al. [58] processed result
HTM,1268,0.12178217821782178,0.07356775440895019,Cui et al. [58] processed result
HTM,1277,0.12079207920792079,0.07406575924461405,Cui et al. [58] processed result
HTM,1286,0.12178217821782178,0.07554007746618802,Cui et al. [58] processed result
HTM,1294,0.12574257425742574,0.07695432693791306,Cui et al. [58] processed result
HTM,1302,0.12871287128712872,0.07833679384099994,Cui et al. [58] processed result
HTM,1311,0.12772277227722773,0.07713246219232603,Cui et al. [58] processed result
HTM,1319,0.1297029702970297,0.07776532857765918,Cui et al. [58] processed result
HTM,1327,0.1306930693069307,0.07881088610745506,Cui et al. [58] processed result
HTM,1336,0.12871287128712872,0.08080081490337887,Cui et al. [58] processed result
HTM,1345,0.12772277227722773,0.07938717340752909,Cui et al. [58] processed result
HTM,1353,0.12673267326732673,0.07967682985635924,Cui et al. [58] processed result
HTM,1362,0.12475247524752475,0.0800940531332938,Cui et al. [58] processed result
HTM,1370,0.12673267326732673,0.07967682985635924,Cui et al. [58] processed result
HTM,1379,0.12673267326732673,0.08150144802873932,Cui et al. [58] processed result
HTM,1387,0.12871287128712872,0.08116396646304633,Cui et al. [58] processed result
HTM,1395,0.12673267326732673,0.08138107955657235,Cui et al. [58] processed result
HTM,1404,0.12574257425742574,0.0801980198019802,Cui et al. [58] processed result
HTM,1413,0.12475247524752475,0.0810672851107276,Cui et al. [58] processed result
HTM,1421,0.12673267326732673,0.08316831683168317,Cui et al. [58] processed result
HTM,1429,0.1297029702970297,0.08533826428422372,Cui et al. [58] processed result
HTM,1437,0.1297029702970297,0.08602473409998339,Cui et al. [58] processed result
HTM,1445,0.1297029702970297,0.0856821866784948,Cui et al. [58] processed result
HTM,1453,0.1316831683168317,0.088007494489754,Cui et al. [58] processed result
HTM,1461,0.1306930693069307,0.08775651408380332,Cui et al. [58] processed result
HTM,1469,0.1306930693069307,0.08842421212580637,Cui et al. [58] processed result
HTM,1478,0.1306930693069307,0.08842421212580637,Cui et al. [58] processed result
HTM,1486,0.1297029702970297,0.08782909320255482,Cui et al. [58] processed result
HTM,1494,0.13267326732673268,0.08946025345011104,Cui et al. [58] processed result
HTM,1502,0.13663366336633664,0.09190337731383993,Cui et al. [58] processed result
HTM,1511,0.13564356435643565,0.09309563562706141,Cui et al. [58] processed result
HTM,1520,0.13465346534653466,0.09215902002550572,Cui et al. [58] processed result
