sentence_index,cycle,word,target_column,target_time,candidate_class,pre_gate_candidate_count,pre_gate_candidate_neuron_ids,pre_gate_candidate_segment_identities,pre_gate_candidate_times,pre_gate_candidate_scores,pre_gate_candidate_depolarization_states,pre_gate_candidate_time_gate_passed,pre_gate_timing_tolerance,predicted_sstd_rank,actual_sstd_rank,same_sstd_rank,nearest_candidate_neuron,nearest_candidate_segment,nearest_candidate_time,delta_t_signed,delta_t_abs,timing_rejected,scenario,selected_learning_neuron,selected_learning_segment,candidate_punished,candidate_punishment_reason,prediction_event_count,prediction_column_count
12,6,do,55,0.0,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,1,,,,,,,False,scenario3,6,2066471504400,False,,0,0
12,6,do,26,0.05555555555555555,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,2,,,,,,,False,scenario3,4,2066471505984,False,,0,0
12,6,do,76,0.1111111111111111,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,3,,,,,,,False,scenario3,2,2066471506416,False,,0,0
12,6,do,47,0.16666666666666666,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,4,,,,,,,False,scenario3,8,2066471508000,False,,0,0
12,6,do,1,0.2222222222222222,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,5,,,,,,,False,scenario3,2,2066471508432,False,,0,0
12,6,do,81,0.2777777777777778,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,6,,,,,,,False,scenario3,2,2066471510112,False,,0,0
12,6,do,89,0.3333333333333333,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,7,,,,,,,False,scenario3,6,2066471510544,False,,0,0
12,6,do,5,0.3888888888888889,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,8,,,,,,,False,scenario3,5,2066471512128,False,,0,0
12,6,do,25,0.4444444444444444,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,9,,,,,,,False,scenario3,0,2066471512560,False,,0,0
12,6,do,23,0.5,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,10,,,,,,,False,scenario3,6,2066471514144,False,,0,0
12,7,but,18,0.0,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,1,,,,,,,False,scenario3,5,2066471612784,False,,10,10
12,7,but,31,0.05555555555555555,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,2,,,,,,,False,scenario3,0,2066471609568,False,,10,10
12,7,but,77,0.1111111111111111,NO_PREDICTIVE_CANDIDATE,0,[],[],[],[],[],[],0.03,,3,,,,,,,False,scenario3,6,2066471608560,False,,10,10
