poems,title,author,goal_based,contextual,contextual_single,goal_line,contextual_line,feedback_character
1000,复合记忆试验0237,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0238,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0239,synthetic-stress,0,13,15,0,3,0
1000,复合记忆试验0240,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0241,synthetic-stress,0,15,13,0,3,0
1000,复合记忆试验0242,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0243,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0244,synthetic-stress,0,15,13,0,3,0
1000,复合记忆试验0245,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0246,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0247,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0248,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0249,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0250,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0251,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0252,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0253,synthetic-stress,0,12,15,0,3,0
1000,复合记忆试验0254,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0255,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0256,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0257,synthetic-stress,0,12,15,0,3,0
1000,复合记忆试验0258,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0259,synthetic-stress,0,14,14,0,3,0
1000,复合记忆试验0260,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0261,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0262,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0263,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0264,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0265,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0266,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0267,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0268,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0269,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0270,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0271,synthetic-stress,0,15,13,0,3,0
1000,复合记忆试验0272,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0273,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0274,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0275,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0276,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0277,synthetic-stress,0,14,15,0,3,0
1000,复合记忆试验0278,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0279,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0280,synthetic-stress,0,15,15,0,3,0
1000,复合记忆试验0281,synthetic-stress,0,13,14,0,3,0
1000,复合记忆试验0282,synthetic-stress,0,15,14,0,3,0
1000,复合记忆试验0283,synthetic-stress,0,15,15,0,3,0
