artifact,anchor_semantics,window_name,start_index,end_index_exclusive,start_timestamp,end_timestamp,n,training_records_seen_at_start,training_records_seen_at_end,standard_mape,repo_metric,wape,coverage_within_artifact
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\diagnostic_500_20260727_205411\original_predictions.csv,predict_before_observe,block_100_2,100,200,2014-07-07 08:30:00,2014-07-09 10:00:00,100,300,399,1.0337276607287145,0.4940651075591594,0.4940651075591594,0.3389830508474576
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\stage_a_250\original_predictions.csv,predict_before_observe,full,0,45,2014-07-05 06:30:00,2014-07-06 04:30:00,45,200,244,0.6914105389498437,0.5054500721931258,0.5054500721931258,1.0
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\stage_a_250\original_predictions.csv,predict_before_observe,first_25,0,11,2014-07-05 06:30:00,2014-07-05 11:30:00,11,200,210,1.3146932785371306,0.9774597460643152,0.9774597460643152,0.24444444444444444
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\stage_a_250\original_predictions.csv,predict_before_observe,second_25,11,22,2014-07-05 12:00:00,2014-07-05 17:00:00,11,211,221,0.3191601259040789,0.32014751340956704,0.32014751340956704,0.24444444444444444
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\stage_a_250\original_predictions.csv,predict_before_observe,third_25,22,33,2014-07-05 17:30:00,2014-07-05 22:30:00,11,222,232,0.3959294154463612,0.3849240814712301,0.3849240814712301,0.24444444444444444
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\stage_a_250\original_predictions.csv,predict_before_observe,final_25,33,45,2014-07-05 23:00:00,2014-07-06 04:30:00,12,233,244,0.7321552694983074,0.5659688971695951,0.5659688971695951,0.26666666666666666
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\stage_a_250\original_predictions.csv,predict_before_observe,first_half,0,22,2014-07-05 06:30:00,2014-07-05 17:00:00,22,200,221,0.8169267022206047,0.5592217900917348,0.5592217900917348,0.4888888888888889
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_strict\stage_a_250\original_predictions.csv,predict_before_observe,second_half,22,45,2014-07-05 17:30:00,2014-07-06 04:30:00,23,222,244,0.5713516001691158,0.4650251145876468,0.4650251145876468,0.5111111111111111
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\anchor_parity_abcd_20260813_000500\anchor_parity_predictions.csv,observe_current_then_5,full,0,45,2014-07-05 06:30:00,2014-07-06 04:30:00,45,200,244,0.6507804179497031,0.480441066299207,0.480441066299207,1.0
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\anchor_parity_abcd_20260813_000500\anchor_parity_predictions.csv,observe_current_then_5,first_25,0,11,2014-07-05 06:30:00,2014-07-05 11:30:00,11,200,210,1.273032589984739,0.9512650274949407,0.9512650274949407,0.24444444444444444
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\anchor_parity_abcd_20260813_000500\anchor_parity_predictions.csv,observe_current_then_5,second_25,11,22,2014-07-05 12:00:00,2014-07-05 17:00:00,11,211,221,0.3025676865603531,0.3044311841164776,0.3044311841164776,0.24444444444444444
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\anchor_parity_abcd_20260813_000500\anchor_parity_predictions.csv,observe_current_then_5,third_25,22,33,2014-07-05 17:30:00,2014-07-05 22:30:00,11,222,232,0.33773427906958664,0.3272400447292997,0.3272400447292997,0.24444444444444444
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\anchor_parity_abcd_20260813_000500\anchor_parity_predictions.csv,observe_current_then_5,final_25,33,45,2014-07-05 23:00:00,2014-07-06 04:30:00,12,233,244,0.6865365579979308,0.5728229559193971,0.5728229559193971,0.26666666666666666
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\anchor_parity_abcd_20260813_000500\anchor_parity_predictions.csv,observe_current_then_5,first_half,0,22,2014-07-05 06:30:00,2014-07-05 17:00:00,22,200,221,0.787800138272546,0.5396943141128392,0.5396943141128392,0.4888888888888889
C:\Users\苒苒\Documents\TorF_reproduction\results\fig9_diagnostics\anchor_parity_abcd_20260813_000500\anchor_parity_predictions.csv,observe_current_then_5,second_half,22,45,2014-07-05 17:30:00,2014-07-06 04:30:00,23,222,244,0.5197180767713314,0.43589515769778253,0.43589515769778253,0.5111111111111111
