prediction_index,records_seen,timestamp,anchor_semantics,rolling_window,cumulative_standard_mape,cumulative_repo_metric,cumulative_wape,rolling_standard_mape,rolling_repo_metric,rolling_wape
232,431,2014-07-10 02:00:00,predict_before_observe,25,1.0731784050878488,0.536930291912238,0.536930291912238,0.5392389961659834,0.4365671105871365,0.4365671105871365
232,431,2014-07-10 02:00:00,predict_before_observe,50,1.0731784050878488,0.536930291912238,0.536930291912238,0.9389578730916722,0.5263386999215236,0.5263386999215236
232,431,2014-07-10 02:00:00,predict_before_observe,100,1.0731784050878488,0.536930291912238,0.536930291912238,1.0842938358810847,0.5241193587467002,0.5241193587467002
233,432,2014-07-10 02:30:00,predict_before_observe,25,1.0767340172943425,0.5387160904316127,0.5387160904316127,0.5880796118330842,0.4399424154214842,0.4399424154214842
233,432,2014-07-10 02:30:00,predict_before_observe,50,1.0767340172943425,0.5387160904316127,0.5387160904316127,0.9141012926625096,0.5148433943779973,0.5148433943779973
233,432,2014-07-10 02:30:00,predict_before_observe,100,1.0767340172943425,0.5387160904316127,0.5387160904316127,1.0862395897710442,0.5215293872242012,0.5215293872242012
234,433,2014-07-10 03:00:00,predict_before_observe,25,1.0721722607504656,0.5381392508384327,0.5381392508384327,0.5714139140041693,0.43716316138676387,0.43716316138676387
234,433,2014-07-10 03:00:00,predict_before_observe,50,1.0721722607504656,0.5381392508384327,0.5381392508384327,0.8361056671437006,0.49183463637789565,0.49183463637789565
234,433,2014-07-10 03:00:00,predict_before_observe,100,1.0721722607504656,0.5381392508384327,0.5381392508384327,1.0852474248684103,0.5223760789224741,0.5223760789224741
235,434,2014-07-10 03:30:00,predict_before_observe,25,1.095905528718293,0.5438575585703326,0.5438575585703326,0.8288703442822716,0.49009727186591134,0.49009727186591134
235,434,2014-07-10 03:30:00,predict_before_observe,50,1.095905528718293,0.5438575585703326,0.5438575585703326,0.9072692332878616,0.5046404316132114,0.5046404316132114
235,434,2014-07-10 03:30:00,predict_before_observe,100,1.095905528718293,0.5438575585703326,0.5438575585703326,1.1500188060650238,0.5356051423007218,0.5356051423007218
236,435,2014-07-10 04:00:00,predict_before_observe,25,1.1249373463465047,0.5503622426006245,0.5503622426006245,1.143640151570639,0.558179061280618,0.558179061280618
236,435,2014-07-10 04:00:00,predict_before_observe,50,1.1249373463465047,0.5503622426006245,0.5503622426006245,1.017900800531096,0.525017284555217,0.525017284555217
236,435,2014-07-10 04:00:00,predict_before_observe,100,1.1249373463465047,0.5503622426006245,0.5503622426006245,1.225878758557632,0.5497142744853014,0.5497142744853014
237,436,2014-07-10 04:30:00,predict_before_observe,25,1.1659297217777118,0.5585926060250018,0.5585926060250018,1.5516489101185262,0.6206330600345562,0.6206330600345562
237,436,2014-07-10 04:30:00,predict_before_observe,50,1.1659297217777118,0.5585926060250018,0.5585926060250018,1.2236499582269813,0.5591157115855656,0.5591157115855656
237,436,2014-07-10 04:30:00,predict_before_observe,100,1.1659297217777118,0.5585926060250018,0.5585926060250018,1.320664622356118,0.565723324053241,0.565723324053241
238,437,2014-07-10 05:00:00,predict_before_observe,25,1.1900927471947569,0.564047123502171,0.564047123502171,1.8110372624290643,0.6726949223748998,0.6726949223748998
238,437,2014-07-10 05:00:00,predict_before_observe,50,1.1900927471947569,0.564047123502171,0.564047123502171,1.2907604624235782,0.5720034970331984,0.5720034970331984
238,437,2014-07-10 05:00:00,predict_before_observe,100,1.1900927471947569,0.564047123502171,0.564047123502171,1.3530666027129095,0.572809587207553,0.572809587207553
239,438,2014-07-10 05:30:00,predict_before_observe,25,1.1949089695724013,0.566539119881436,0.566539119881436,1.896386317628748,0.7140736908449058,0.7140736908449058
239,438,2014-07-10 05:30:00,predict_before_observe,50,1.1949089695724013,0.566539119881436,0.566539119881436,1.2850353502841034,0.5760943674636019,0.5760943674636019
239,438,2014-07-10 05:30:00,predict_before_observe,100,1.1949089695724013,0.566539119881436,0.566539119881436,1.2540069917853554,0.5634815292077923,0.5634815292077923
240,439,2014-07-10 06:00:00,predict_before_observe,25,1.197889190436558,0.5693287848857929,0.5693287848857929,1.956005007435736,0.7521345537535807,0.7521345537535807
240,439,2014-07-10 06:00:00,predict_before_observe,50,1.197889190436558,0.5693287848857929,0.5693287848857929,1.1970157218021615,0.5689826135531759,0.5689826135531759
240,439,2014-07-10 06:00:00,predict_before_observe,100,1.197889190436558,0.5693287848857929,0.5693287848857929,1.1723758763660614,0.5563393716791238,0.5563393716791238
241,440,2014-07-10 06:30:00,predict_before_observe,25,1.199874037269607,0.5732151600973313,0.5732151600973313,2.003450422252749,0.7986872712276395,0.7986872712276395
241,440,2014-07-10 06:30:00,predict_before_observe,50,1.199874037269607,0.5732151600973313,0.5732151600973313,1.216201836942463,0.5841499469074005,0.5841499469074005
241,440,2014-07-10 06:30:00,predict_before_observe,100,1.199874037269607,0.5732151600973313,0.5732151600973313,1.1009853625236503,0.5532897103524113,0.5532897103524113
242,441,2014-07-10 07:00:00,predict_before_observe,25,1.1978245759089332,0.5737834376120616,0.5737834376120616,2.0270568415136556,0.845037250296643,0.845037250296643
242,441,2014-07-10 07:00:00,predict_before_observe,50,1.1978245759089332,0.5737834376120616,0.5737834376120616,1.2061475728775333,0.5811734136489108,0.5811734136489108
242,441,2014-07-10 07:00:00,predict_before_observe,100,1.1978245759089332,0.5737834376120616,0.5737834376120616,1.061650623713943,0.5483246728594279,0.5483246728594279
243,442,2014-07-10 07:30:00,predict_before_observe,25,1.1938026445738457,0.5718998995754485,0.5718998995754485,2.0161588188217774,0.8402378309835391,0.8402378309835391
243,442,2014-07-10 07:30:00,predict_before_observe,50,1.1938026445738457,0.5718998995754485,0.5718998995754485,1.2100436056009045,0.5811133634935743,0.5811133634935743
243,442,2014-07-10 07:30:00,predict_before_observe,100,1.1938026445738457,0.5718998995754485,0.5718998995754485,1.0599408052678216,0.545114461288778,0.545114461288778
244,443,2014-07-10 08:00:00,predict_before_observe,25,1.1893219819157854,0.5691279421627388,0.5691279421627388,2.001791989172514,0.8275159938615902,0.8275159938615902
244,443,2014-07-10 08:00:00,predict_before_observe,50,1.1893219819157854,0.5691279421627388,0.5691279421627388,1.1959852648029148,0.5658864993070041,0.5658864993070041
244,443,2014-07-10 08:00:00,predict_before_observe,100,1.1893219819157854,0.5691279421627388,0.5691279421627388,1.0467116629202964,0.5359811726518295,0.5359811726518295
245,444,2014-07-10 08:30:00,predict_before_observe,25,1.184927774459727,0.5661739850933142,0.5661739850933142,1.9844674307009993,0.8021145102765327,0.8021145102765327
245,444,2014-07-10 08:30:00,predict_before_observe,50,1.184927774459727,0.5661739850933142,0.5661739850933142,1.192894912378747,0.5603518883951942,0.5603518883951942
245,444,2014-07-10 08:30:00,predict_before_observe,100,1.184927774459727,0.5661739850933142,0.5661739850933142,1.0376196737920274,0.5267595685707567,0.5267595685707567
246,445,2014-07-10 09:00:00,predict_before_observe,25,1.1804454215666544,0.5632422631495365,0.5632422631495365,1.9697894959414102,0.7797739609563163,0.7797739609563163
246,445,2014-07-10 09:00:00,predict_before_observe,50,1.1804454215666544,0.5632422631495365,0.5632422631495365,1.1876590081563068,0.553493438767072,0.553493438767072
246,445,2014-07-10 09:00:00,predict_before_observe,100,1.1804454215666544,0.5632422631495365,0.5632422631495365,1.0301122013372004,0.5184972356846015,0.5184972356846015
