source_path,source_module,source_role,target_path,target_module,target_role,line,import_kind,architecture_flag
experiments/diagnostics/fig8_scenario1_contribution.py,experiments.diagnostics.fig8_scenario1_contribution,diagnostic,experiments/diagnostics/fig8_diagnostic_common.py,experiments.diagnostics.fig8_diagnostic_common,diagnostic,12,from,
experiments/diagnostics/fig8_scenario1_contribution.py,experiments.diagnostics.fig8_scenario1_contribution,diagnostic,experiments/fig8_sentence_memory.py,experiments.fig8_sentence_memory,experiment,18,from,
experiments/diagnostics/fig8_scenario1_diagnostic.py,experiments.diagnostics.fig8_scenario1_diagnostic,diagnostic,experiments/diagnostics/fig8_diagnostic_common.py,experiments.diagnostics.fig8_diagnostic_common,diagnostic,12,from,
experiments/diagnostics/fig8_scenario1_diagnostic.py,experiments.diagnostics.fig8_scenario1_diagnostic,diagnostic,experiments/fig8_sentence_memory.py,experiments.fig8_sentence_memory,experiment,19,from,
experiments/diagnostics/fig8_scenario_temporal_credit_parity.py,experiments.diagnostics.fig8_scenario_temporal_credit_parity,diagnostic,experiments/diagnostics/fig8_diagnostic_common.py,experiments.diagnostics.fig8_diagnostic_common,diagnostic,25,from,
experiments/diagnostics/fig8_scenario_temporal_credit_parity.py,experiments.diagnostics.fig8_scenario_temporal_credit_parity,diagnostic,experiments/fig8_sentence_memory.py,experiments.fig8_sentence_memory,experiment,26,from,
experiments/diagnostics/fig8_scenario_temporal_credit_parity.py,experiments.diagnostics.fig8_scenario_temporal_credit_parity,diagnostic,src/seqmem/model.py,seqmem.model,core,27,from,
experiments/diagnostics/fig8_scenario_temporal_credit_parity.py,experiments.diagnostics.fig8_scenario_temporal_credit_parity,diagnostic,src/seqmem/__init__.py,seqmem,core,385,from,
experiments/diagnostics/fig8_temporal_confirmation_semantics.py,experiments.diagnostics.fig8_temporal_confirmation_semantics,diagnostic,experiments/fig8_sentence_memory.py,experiments.fig8_sentence_memory,experiment,25,from,
experiments/diagnostics/fig8_temporal_confirmation_semantics.py,experiments.diagnostics.fig8_temporal_confirmation_semantics,diagnostic,experiments/diagnostics/fig8_diagnostic_common.py,experiments.diagnostics.fig8_diagnostic_common,diagnostic,26,from,
