path,directory,size_bytes_recursive,mtime_latest,experiment_family,known_commit,protocol_available,checkpoint,report,raw_prediction,temporary,credibility,regeneration_cost,suggested_future_action
results/fig9_diagnostics/intracolumn_selector_50_final2_20260729_codex/max_contributor_count,max_contributor_count,11564670,2026-07-30T00:09:42.708135,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_final2_20260729_codex/max_response_peak,max_response_peak,11179073,2026-07-30T00:09:42.294816,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_final_20260729_codex,intracolumn_selector_50_final_20260729_codex,54258198,2026-07-29T23:55:23.315673,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_final_20260729_codex/context_then_score,context_then_score,10879271,2026-07-29T23:55:23.315673,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_final_20260729_codex/existing,existing,10170503,2026-07-29T23:55:21.634848,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_final_20260729_codex/max_candidate_score,max_candidate_score,10934647,2026-07-29T23:55:22.076382,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_final_20260729_codex/max_contributor_count,max_contributor_count,11330544,2026-07-29T23:55:22.883295,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/intracolumn_selector_50_final_20260729_codex/max_response_peak,max_response_peak,10943233,2026-07-29T23:55:22.470026,Fig9,,True,False,True,True,False,C,MEDIUM,KEEP_REPORT
results/fig9_diagnostics/l2_ambiguity_accumulation_20260810_101500,l2_ambiguity_accumulation_20260810_101500,246028579,2026-08-10T13:48:08.269455,Fig9,,True,True,True,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_ambiguity_accumulation_20260810_101500/L2_ambiguity_500,L2_ambiguity_500,59545340,2026-08-10T12:19:22.567591,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_ambiguity_accumulation_20260810_101500/L4_ambiguity_500,L4_ambiguity_500,64890427,2026-08-10T13:44:50.398273,Fig9,,True,True,False,True,False,C,HIGH,KEEP_CHECKPOINT
results/fig9_diagnostics/l2_ambiguity_accumulation_20260810_101500/debug_249_250_core,debug_249_250_core,12386018,2026-08-10T10:36:23.566079,Fig9,,True,True,False,True,True,D,HIGH,REGENERABLE
results/fig9_diagnostics/l2_ambiguity_accumulation_20260810_101500/debug_249_250_diagnostic_nogzip,debug_249_250_diagnostic_nogzip,13781301,2026-08-10T10:37:15.942318,Fig9,,True,True,False,True,True,D,HIGH,REGENERABLE
results/fig9_diagnostics/l2_ambiguity_accumulation_20260810_101500/debug_249_250_diagnostic_streamedgzip,debug_249_250_diagnostic_streamedgzip,13466701,2026-08-10T10:40:04.656155,Fig9,,True,True,False,True,True,D,HIGH,REGENERABLE
