task,elements,mean_moving_accuracy,std_moving_accuracy,completed_trials
single,19500,0.586,0.07876547467006086,10
single,19750,0.579,0.06963476143421474,10
single,20000,0.5780000000000001,0.07291090453423275,10
multiple-2,250,0.21310344827586208,0.02102034572983196,10
multiple-2,500,0.30612117669978567,0.0517792378507174,10
multiple-2,750,0.36312788872843116,0.04984077781704591,10
multiple-2,1000,0.42699999999999994,0.04775981574503822,10
multiple-2,1250,0.48900000000000005,0.0496890329952194,10
multiple-2,1500,0.485,0.050049975024968794,10
multiple-2,1750,0.502,0.05325410782277739,10
multiple-2,2000,0.522,0.06079473661428267,10
multiple-2,2250,0.556,0.056603886792339624,10
multiple-2,2500,0.6,0.06767569726275453,10
multiple-2,2750,0.634,0.07310266752998824,10
multiple-2,3000,0.658,0.0852994724485445,10
multiple-2,3250,0.689,0.09679359482941008,10
multiple-2,3500,0.6990000000000001,0.0931074647920348,10
multiple-2,3750,0.728,0.07691553809211762,10
multiple-2,4000,0.735,0.062169124169478195,10
multiple-2,4250,0.749,0.05281098370604358,10
multiple-2,4500,0.75,0.0746993975879324,10
multiple-2,4750,0.746,0.06437390775772432,10
multiple-2,5000,0.733,0.08497646733066751,10
multiple-2,5250,0.746,0.08546344247688599,10
multiple-2,5500,0.753,0.08319254774317228,10
multiple-2,5750,0.761,0.08745856161634492,10
multiple-2,6000,0.773,0.08474078120952154,10
multiple-2,6250,0.766,0.08357032966310471,10
multiple-2,6500,0.765,0.087091905479212,10
multiple-2,6750,0.762,0.08553361912137239,10
multiple-2,7000,0.751,0.09004998611882181,10
multiple-2,7250,0.763,0.0871837140755084,10
multiple-2,7500,0.764,0.08979977728257461,10
multiple-2,7750,0.782,0.08704022058795578,10
multiple-2,8000,0.7849999999999999,0.08558621384311846,10
multiple-2,8250,0.79,0.08473488065725944,10
multiple-2,8500,0.7939999999999999,0.08101851640211637,10
multiple-2,8750,0.808,0.08034923770640268,10
multiple-2,9000,0.805,0.07566372975210778,10
multiple-2,9250,0.796,0.06887670143089025,10
multiple-2,9500,0.791,0.06920260110718382,10
multiple-2,9750,0.79,0.09622889378975527,10
multiple-2,10000,0.8,0.09664367542679655,10
multiple-4,250,0.15126436781609195,0.06406991820926615,10
multiple-4,500,0.24329047340736412,0.05818350489561871,10
multiple-4,750,0.2906672889295904,0.043172175489061014,10
multiple-4,1000,0.367,0.04920365840057018,10
multiple-4,1250,0.40700000000000003,0.055865910893853704,10
multiple-4,1500,0.42300000000000004,0.07523961722390672,10
multiple-4,1750,0.429,0.06007495318350235,10
multiple-4,2000,0.465,0.054451813560247926,10
multiple-4,2250,0.51,0.056213877290220766,10
multiple-4,2500,0.533,0.0734914961066925,10
multiple-4,2750,0.572,0.07934733769950948,10
multiple-4,3000,0.608,0.10225458424931373,10
multiple-4,3250,0.649,0.08030566605165539,10
multiple-4,3500,0.6809999999999999,0.06963476143421474,10
multiple-4,3750,0.7060000000000001,0.07045565981523415,10
multiple-4,4000,0.713,0.07128113354878694,10
multiple-4,4250,0.73,0.06340346993658943,10
multiple-4,4500,0.739,0.04392038251199551,10
multiple-4,4750,0.732,0.059295868321494374,10
multiple-4,5000,0.73,0.0660302960768767,10
multiple-4,5250,0.721,0.0821522975941635,10
multiple-4,5500,0.738,0.07665507158694719,10
multiple-4,5750,0.737,0.07785242449660768,10
multiple-4,6000,0.759,0.06503076195155644,10
multiple-4,6250,0.763,0.04450842616853579,10
multiple-4,6500,0.763,0.046486557196677825,10
multiple-4,6750,0.745,0.05200961449578339,10
multiple-4,7000,0.754,0.0642183774320093,10
multiple-4,7250,0.755,0.07632168761236874,10
multiple-4,7500,0.755,0.08212794895770867,10
multiple-4,7750,0.755,0.08452810183601665,10
multiple-4,8000,0.766,0.07631513611335565,10
multiple-4,8250,0.764,0.06086049621881176,10
multiple-4,8500,0.766,0.0488262224629348,10
multiple-4,8750,0.759,0.06139218191268332,10
multiple-4,9000,0.758,0.06779380502671319,10
multiple-4,9250,0.751,0.07300000000000001,10
multiple-4,9500,0.747,0.06229767250869008,10
multiple-4,9750,0.77,0.0732120208708925,10
multiple-4,10000,0.782,0.07599999999999998,10
