field,record_range,observe_scenario,observation_count,observation_denominator_scope,existing_segment_observation_count,existing_segment_rate_all_observations,existing_segment_denominator_scope,segment_row_count,segment_row_denominator_scope,best_overlap_mean_all_observations,best_overlap_median_all_observations,best_overlap_p10_all_observations,best_overlap_p25_all_observations,best_overlap_p75_all_observations,best_overlap_p90_all_observations,gap_to_L_match_mean_all_observations,source_retention_mean_segment_rows,creation_current_jaccard_mean_segment_rows,L1_match_observation_count,L1_match_rate_existing_segment_observations,L1_ambiguity_observation_count,L1_ambiguity_rate_existing_segment_observations,L1_multiple_neuron_ambiguity_count,L1_multiple_neuron_ambiguity_rate_existing_segment_observations,L2_match_observation_count,L2_match_rate_existing_segment_observations,L2_ambiguity_observation_count,L2_ambiguity_rate_existing_segment_observations,L2_multiple_neuron_ambiguity_count,L2_multiple_neuron_ambiguity_rate_existing_segment_observations,L3_match_observation_count,L3_match_rate_existing_segment_observations,L3_ambiguity_observation_count,L3_ambiguity_rate_existing_segment_observations,L3_multiple_neuron_ambiguity_count,L3_multiple_neuron_ambiguity_rate_existing_segment_observations,L4_match_observation_count,L4_match_rate_existing_segment_observations,L4_ambiguity_observation_count,L4_ambiguity_rate_existing_segment_observations,L4_multiple_neuron_ambiguity_count,L4_multiple_neuron_ambiguity_rate_existing_segment_observations,all_cell_current_best_overlap_mean_existing_segment_observations,winner_only_best_overlap_mean_existing_segment_observations,predicted_only_best_overlap_mean_existing_segment_observations,burst_only_best_overlap_mean_existing_segment_observations,predicted_plus_winner_best_overlap_mean_existing_segment_observations,without_burst_only_best_overlap_mean_existing_segment_observations,same_field_only_best_overlap_mean_existing_segment_observations,cross_field_only_best_overlap_mean_existing_segment_observations
passenger,200-244,scenario2,87,field_x_record_range_x_scenario_all_observed_columns,87,1.0,observations_in_scope_with_at_least_one_preexisting_segment,782,all_preexisting_segment_rows_for_observations_in_scope,9.114942528735632,10.0,4.0,5.0,10.0,11.0,0.0,0.29249786871270245,0.010157329649059983,87,1.0,76,0.8735632183908046,76,0.8735632183908046,87,1.0,42,0.4827586206896552,42,0.4827586206896552,87,1.0,18,0.20689655172413793,18,0.20689655172413793,87,1.0,11,0.12643678160919541,11,0.12643678160919541,9.114942528735632,6.494252873563219,0.7241379310344828,8.436781609195402,6.494252873563219,6.494252873563219,2.8850574712643677,7.137931034482759
passenger,200-244,scenario3,329,field_x_record_range_x_scenario_all_observed_columns,329,1.0,observations_in_scope_with_at_least_one_preexisting_segment,2437,all_preexisting_segment_rows_for_observations_in_scope,1.1185410334346504,1.0,0.0,1.0,2.0,2.0,2.8814589665653494,0.2255368622623444,0.00799348065403461,267,0.8115501519756839,172,0.5227963525835866,172,0.5227963525835866,83,0.25227963525835867,16,0.0486322188449848,16,0.0486322188449848,18,0.0547112462006079,1,0.00303951367781155,1,0.00303951367781155,0,0.0,0,0.0,0,0.0,1.1185410334346504,0.6048632218844985,0.04559270516717325,1.1063829787234043,0.6048632218844985,0.6048632218844985,0.40425531914893614,0.9148936170212766
passenger,50-99,scenario1,31,field_x_record_range_x_scenario_all_observed_columns,31,1.0,observations_in_scope_with_at_least_one_preexisting_segment,127,all_preexisting_segment_rows_for_observations_in_scope,7.387096774193548,9.0,3.0,3.5,10.0,10.0,0.3548387096774194,0.3811023622047244,0.014032351762506197,31,1.0,18,0.5806451612903226,18,0.5806451612903226,30,0.967741935483871,5,0.16129032258064516,5,0.16129032258064516,29,0.9354838709677419,0,0.0,0,0.0,23,0.7419354838709677,0,0.0,0,0.0,7.387096774193548,6.290322580645161,1.1612903225806452,6.225806451612903,6.290322580645161,6.290322580645161,0.9354838709677419,6.838709677419355
passenger,50-99,scenario2,68,field_x_record_range_x_scenario_all_observed_columns,68,1.0,observations_in_scope_with_at_least_one_preexisting_segment,362,all_preexisting_segment_rows_for_observations_in_scope,8.602941176470589,10.0,5.0,7.0,10.0,11.0,0.0,0.38554327808471456,0.014213179183987026,68,1.0,59,0.8676470588235294,59,0.8676470588235294,68,1.0,22,0.3235294117647059,22,0.3235294117647059,68,1.0,10,0.14705882352941177,10,0.14705882352941177,68,1.0,8,0.11764705882352941,8,0.11764705882352941,8.602941176470589,7.602941176470588,1.1470588235294117,7.470588235294118,7.602941176470588,7.602941176470588,0.9117647058823529,8.147058823529411
passenger,50-99,scenario3,401,field_x_record_range_x_scenario_all_observed_columns,356,0.8877805486284289,observations_in_scope_with_at_least_one_preexisting_segment,967,all_preexisting_segment_rows_for_observations_in_scope,0.6658354114713217,1.0,0.0,0.0,1.0,2.0,3.334164588528678,0.38276456394346775,0.01398166881364918,207,0.5814606741573034,75,0.21067415730337077,75,0.21067415730337077,47,0.13202247191011235,6,0.016853932584269662,6,0.016853932584269662,13,0.03651685393258427,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.75,0.34269662921348315,0.05337078651685393,0.7191011235955056,0.34269662921348315,0.34269662921348315,0.23876404494382023,0.5786516853932584
time,0-49,scenario1,69,field_x_record_range_x_scenario_all_observed_columns,69,1.0,observations_in_scope_with_at_least_one_preexisting_segment,188,all_preexisting_segment_rows_for_observations_in_scope,4.72463768115942,3.0,1.0,3.0,7.0,10.0,0.8985507246376812,0.5741134751773049,0.018795758932741765,69,1.0,34,0.4927536231884058,34,0.4927536231884058,60,0.8695652173913043,18,0.2608695652173913,18,0.2608695652173913,53,0.7681159420289855,12,0.17391304347826086,12,0.17391304347826086,32,0.463768115942029,7,0.10144927536231885,7,0.10144927536231885,4.72463768115942,2.2318840579710146,0.42028985507246375,4.434782608695652,2.2318840579710146,2.2318840579710146,3.0579710144927534,2.1594202898550723
time,0-49,scenario2,104,field_x_record_range_x_scenario_all_observed_columns,104,1.0,observations_in_scope_with_at_least_one_preexisting_segment,435,all_preexisting_segment_rows_for_observations_in_scope,8.711538461538462,10.0,4.0,5.0,11.0,11.0,0.0,0.5196934865900383,0.016891621467871803,104,1.0,88,0.8461538461538461,88,0.8461538461538461,104,1.0,50,0.4807692307692308,50,0.4807692307692308,104,1.0,31,0.2980769230769231,31,0.2980769230769231,104,1.0,12,0.11538461538461539,12,0.11538461538461539,8.711538461538462,6.875,0.04807692307692308,8.682692307692308,6.875,6.875,2.923076923076923,6.855769230769231
time,0-49,scenario3,327,field_x_record_range_x_scenario_all_observed_columns,259,0.7920489296636085,observations_in_scope_with_at_least_one_preexisting_segment,743,all_preexisting_segment_rows_for_observations_in_scope,1.073394495412844,1.0,0.0,0.0,2.0,3.0,2.926605504587156,0.5557200538358008,0.01815363431131029,182,0.7027027027027027,80,0.3088803088803089,80,0.3088803088803089,109,0.42084942084942084,13,0.05019305019305019,13,0.05019305019305019,60,0.23166023166023167,2,0.007722007722007722,2,0.007722007722007722,0,0.0,0,0.0,0,0.0,1.3552123552123552,0.20077220077220076,0.11583011583011583,1.2625482625482625,0.20077220077220076,0.20077220077220076,1.2934362934362935,0.0888030888030888
time,100-149,scenario1,104,field_x_record_range_x_scenario_all_observed_columns,104,1.0,observations_in_scope_with_at_least_one_preexisting_segment,593,all_preexisting_segment_rows_for_observations_in_scope,9.759615384615385,10.0,5.300000000000001,8.0,11.0,14.0,0.057692307692307696,0.2942664418212479,0.010286170064534344,104,1.0,104,1.0,104,1.0,104,1.0,86,0.8269230769230769,86,0.8269230769230769,103,0.9903846153846154,62,0.5961538461538461,62,0.5961538461538461,99,0.9519230769230769,35,0.33653846153846156,35,0.33653846153846156,9.759615384615385,8.01923076923077,1.375,8.596153846153847,8.01923076923077,8.01923076923077,8.826923076923077,2.1826923076923075
time,100-149,scenario2,393,field_x_record_range_x_scenario_all_observed_columns,393,1.0,observations_in_scope_with_at_least_one_preexisting_segment,2267,all_preexisting_segment_rows_for_observations_in_scope,12.198473282442748,11.0,8.200000000000003,10.0,14.0,17.0,0.0,0.2747978238494339,0.00973641864140945,393,1.0,389,0.989821882951654,389,0.989821882951654,393,1.0,338,0.8600508905852418,338,0.8600508905852418,393,1.0,257,0.6539440203562341,257,0.6539440203562341,393,1.0,145,0.36895674300254455,145,0.36895674300254455,12.198473282442748,10.12468193384224,1.6005089058524173,10.732824427480915,10.12468193384224,10.12468193384224,10.60559796437659,2.6310432569974553
time,100-149,scenario3,3,field_x_record_range_x_scenario_all_observed_columns,3,1.0,observations_in_scope_with_at_least_one_preexisting_segment,17,all_preexisting_segment_rows_for_observations_in_scope,3.0,3.0,3.0000000000000004,3.0,3.0,3.0,1.0,0.2647058823529412,0.009338462147374112,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,0,0.0,0,0.0,0,0.0,3.0,1.6666666666666667,1.0,3.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.0
time,150-199,scenario1,107,field_x_record_range_x_scenario_all_observed_columns,107,1.0,observations_in_scope_with_at_least_one_preexisting_segment,619,all_preexisting_segment_rows_for_observations_in_scope,11.280373831775702,10.0,6.0,9.0,14.0,17.400000000000006,0.028037383177570093,0.20780829294561118,0.008047049486615922,107,1.0,107,1.0,107,1.0,107,1.0,79,0.7383177570093458,79,0.7383177570093458,106,0.9906542056074766,50,0.4672897196261682,50,0.4672897196261682,105,0.9813084112149533,22,0.205607476635514,22,0.205607476635514,11.280373831775702,9.22429906542056,2.0654205607476634,9.439252336448599,9.22429906542056,9.22429906542056,9.663551401869158,2.514018691588785
time,150-199,scenario2,390,field_x_record_range_x_scenario_all_observed_columns,390,1.0,observations_in_scope_with_at_least_one_preexisting_segment,2258,all_preexisting_segment_rows_for_observations_in_scope,14.08974358974359,14.0,11.0,12.0,16.0,19.0,0.0,0.19257454974904045,0.007529454486140274,390,1.0,380,0.9743589743589743,380,0.9743589743589743,390,1.0,307,0.7871794871794872,307,0.7871794871794872,390,1.0,213,0.5461538461538461,213,0.5461538461538461,390,1.0,119,0.30512820512820515,119,0.30512820512820515,14.08974358974359,11.674358974358974,2.6846153846153844,11.484615384615385,11.674358974358974,11.674358974358974,11.494871794871795,2.953846153846154
time,150-199,scenario3,3,field_x_record_range_x_scenario_all_observed_columns,3,1.0,observations_in_scope_with_at_least_one_preexisting_segment,16,all_preexisting_segment_rows_for_observations_in_scope,2.3333333333333335,2.0,2.0,2.0,2.5,2.8000000000000003,1.6666666666666667,0.16666666666666666,0.0069795774302258175,3,1.0,3,1.0,3,1.0,3,1.0,0,0.0,0,0.0,1,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.3333333333333335,1.0,0.0,2.3333333333333335,1.0,1.0,2.3333333333333335,1.0
time,200-244,scenario1,102,field_x_record_range_x_scenario_all_observed_columns,102,1.0,observations_in_scope_with_at_least_one_preexisting_segment,599,all_preexisting_segment_rows_for_observations_in_scope,11.303921568627452,10.0,7.0,9.0,13.0,16.0,0.029411764705882353,0.20795770728992766,0.007266769971518926,102,1.0,100,0.9803921568627451,100,0.9803921568627451,102,1.0,81,0.7941176470588235,81,0.7941176470588235,102,1.0,43,0.4215686274509804,43,0.4215686274509804,99,0.9705882352941176,25,0.24509803921568626,25,0.24509803921568626,11.303921568627452,9.068627450980392,1.5686274509803921,9.852941176470589,9.068627450980392,9.068627450980392,9.862745098039216,2.4313725490196076
time,200-244,scenario2,348,field_x_record_range_x_scenario_all_observed_columns,348,1.0,observations_in_scope_with_at_least_one_preexisting_segment,2035,all_preexisting_segment_rows_for_observations_in_scope,13.775862068965518,13.0,10.0,11.0,16.0,18.0,0.0,0.1904013104013104,0.006675045662977332,348,1.0,346,0.9942528735632183,346,0.9942528735632183,348,1.0,302,0.867816091954023,302,0.867816091954023,348,1.0,233,0.6695402298850575,233,0.6695402298850575,348,1.0,167,0.47988505747126436,167,0.47988505747126436,13.775862068965518,11.347701149425287,2.0402298850574714,11.761494252873563,11.347701149425287,11.347701149425287,11.660919540229886,2.793103448275862
time,50-99,scenario1,142,field_x_record_range_x_scenario_all_observed_columns,142,1.0,observations_in_scope_with_at_least_one_preexisting_segment,812,all_preexisting_segment_rows_for_observations_in_scope,8.450704225352112,9.0,3.1000000000000014,7.0,10.0,10.900000000000006,0.176056338028169,0.3719622331691297,0.013684829493045246,142,1.0,139,0.9788732394366197,139,0.9788732394366197,141,0.9929577464788732,89,0.6267605633802817,89,0.6267605633802817,133,0.9366197183098591,44,0.30985915492957744,44,0.30985915492957744,127,0.8943661971830986,24,0.16901408450704225,24,0.16901408450704225,8.450704225352112,7.309859154929577,2.0,6.563380281690141,7.309859154929577,7.309859154929577,7.71830985915493,1.908450704225352
time,50-99,scenario2,341,field_x_record_range_x_scenario_all_observed_columns,341,1.0,observations_in_scope_with_at_least_one_preexisting_segment,1912,all_preexisting_segment_rows_for_observations_in_scope,11.281524926686217,10.0,8.0,9.0,13.0,17.0,0.0,0.3722454672245467,0.0135452955620467,341,1.0,338,0.9912023460410557,338,0.9912023460410557,341,1.0,261,0.7653958944281525,261,0.7653958944281525,341,1.0,133,0.39002932551319647,133,0.39002932551319647,341,1.0,71,0.20821114369501467,71,0.20821114369501467,11.281524926686217,9.741935483870968,2.0762463343108504,9.266862170087977,9.741935483870968,9.741935483870968,9.483870967741936,2.803519061583578
