field,record_range,observe_scenario,counterfactual_L_match,columns,columns_with_any_passing_segment_rate,mean_passing_segment_count,mean_passing_neuron_count,mean_best_passing_overlap,selected_segment_compatibility_rate,teacher_reference_neuron_availability_rate,teacher_reference_segment_availability_rate
time,50-99,scenario1,3,142,0.9366197183098591,1.3028169014084507,1.3028169014084507,8.330985915492958,0.7323943661971831,0.7323943661971831,0.7323943661971831
time,50-99,scenario1,4,142,0.8943661971830986,1.0774647887323943,1.0774647887323943,8.204225352112676,0.676056338028169,0.676056338028169,0.676056338028169
time,50-99,scenario2,1,341,1.0,3.7360703812316713,3.7360703812316713,11.281524926686217,1.0,1.0,1.0
time,50-99,scenario2,2,341,1.0,2.2111436950146626,2.2111436950146626,11.281524926686217,1.0,1.0,1.0
time,50-99,scenario2,3,341,1.0,1.4809384164222874,1.4809384164222874,11.281524926686217,1.0,1.0,1.0
time,50-99,scenario2,4,341,1.0,1.219941348973607,1.219941348973607,11.281524926686217,1.0,1.0,1.0
time,50-99,scenario3,1,17,1.0,2.176470588235294,2.176470588235294,1.8823529411764706,0.0,0.0,0.0
time,50-99,scenario3,2,17,0.7647058823529411,1.0588235294117647,1.0588235294117647,1.6470588235294117,0.0,0.0,0.0
time,50-99,scenario3,3,17,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.35294117647058826,0.0,0.0,0.0
time,50-99,scenario3,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weekday,0-49,scenario2,1,464,1.0,1.0,1.0,21.433189655172413,1.0,1.0,1.0
weekday,0-49,scenario2,2,464,1.0,1.0,1.0,21.433189655172413,1.0,1.0,1.0
weekday,0-49,scenario2,3,464,1.0,1.0,1.0,21.433189655172413,1.0,1.0,1.0
weekday,0-49,scenario2,4,464,1.0,1.0,1.0,21.433189655172413,1.0,1.0,1.0
weekday,0-49,scenario3,1,12,0.5,0.5,0.5,1.3333333333333333,0.0,0.0,0.0
weekday,0-49,scenario3,2,12,0.5,0.5,0.5,1.3333333333333333,0.0,0.0,0.0
weekday,0-49,scenario3,3,12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0
weekday,0-49,scenario3,4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weekday,100-149,scenario1,1,74,1.0,2.081081081081081,2.081081081081081,14.91891891891892,1.0,1.0,1.0
weekday,100-149,scenario1,2,74,1.0,1.5945945945945945,1.5945945945945945,14.91891891891892,0.9864864864864865,0.9864864864864865,0.9864864864864865
weekday,100-149,scenario1,3,74,0.9864864864864865,1.2162162162162162,1.2162162162162162,14.891891891891891,0.8108108108108109,0.8108108108108109,0.8108108108108109
weekday,100-149,scenario1,4,74,0.972972972972973,1.0405405405405406,1.0405405405405406,14.85135135135135,0.7162162162162162,0.7162162162162162,0.7162162162162162
weekday,100-149,scenario2,1,412,1.0,1.4951456310679612,1.4951456310679612,21.453883495145632,1.0,1.0,1.0
weekday,100-149,scenario2,2,412,1.0,1.2985436893203883,1.2985436893203883,21.453883495145632,1.0,1.0,1.0
weekday,100-149,scenario2,3,412,1.0,1.1504854368932038,1.1504854368932038,21.453883495145632,1.0,1.0,1.0
weekday,100-149,scenario2,4,412,1.0,1.1213592233009708,1.1213592233009708,21.453883495145632,1.0,1.0,1.0
weekday,100-149,scenario3,1,9,0.8888888888888888,1.0,1.0,1.2222222222222223,0.0,0.0,0.0
