field,record_range,context_variant,columns,mean_best_overlap,mean_passing_segments_L1,ambiguous_segment_rate_L1,ambiguous_neuron_rate_L1,selected_compatibility_rate_L1,mean_passing_segments_L2,ambiguous_segment_rate_L2,ambiguous_neuron_rate_L2,selected_compatibility_rate_L2,mean_passing_segments_L3,ambiguous_segment_rate_L3,ambiguous_neuron_rate_L3,selected_compatibility_rate_L3,mean_passing_segments_L4,ambiguous_segment_rate_L4,ambiguous_neuron_rate_L4,selected_compatibility_rate_L4
passenger,150-199,PREDICTED_ONLY,488,0.3176229508196721,0.20081967213114754,0.022540983606557378,0.022540983606557378,0.0860655737704918,0.0778688524590164,0.0,0.0,0.0778688524590164,0.02459016393442623,0.0,0.0,0.02459016393442623,0.014344262295081968,0.0,0.0,0.014344262295081968
passenger,150-199,PREDICTED_PLUS_WINNER,488,1.151639344262295,0.6495901639344263,0.1598360655737705,0.1598360655737705,0.09631147540983606,0.12295081967213115,0.0,0.0,0.08811475409836066,0.0860655737704918,0.0,0.0,0.0860655737704918,0.0860655737704918,0.0,0.0,0.0860655737704918
passenger,150-199,SAME_FIELD_ONLY,488,0.42008196721311475,0.2725409836065574,0.03278688524590164,0.03278688524590164,0.05942622950819672,0.06557377049180328,0.0020491803278688526,0.0020491803278688526,0.036885245901639344,0.05737704918032787,0.0020491803278688526,0.0020491803278688526,0.036885245901639344,0.036885245901639344,0.0,0.0,0.030737704918032786
passenger,150-199,WINNER_ONLY,488,1.151639344262295,0.6495901639344263,0.1598360655737705,0.1598360655737705,0.09631147540983606,0.12295081967213115,0.0,0.0,0.08811475409836066,0.0860655737704918,0.0,0.0,0.0860655737704918,0.0860655737704918,0.0,0.0,0.0860655737704918
passenger,150-199,WITHOUT_BURST_ONLY,488,1.151639344262295,0.6495901639344263,0.1598360655737705,0.1598360655737705,0.09631147540983606,0.12295081967213115,0.0,0.0,0.08811475409836066,0.0860655737704918,0.0,0.0,0.0860655737704918,0.0860655737704918,0.0,0.0,0.0860655737704918
passenger,200-244,ALL_CELL_CURRENT,450,3.017777777777778,2.026666666666667,0.6111111111111112,0.6111111111111112,0.26,0.6088888888888889,0.14444444444444443,0.14444444444444443,0.25333333333333335,0.33555555555555555,0.04666666666666667,0.04666666666666667,0.24,0.2644444444444444,0.028888888888888888,0.028888888888888888,0.2288888888888889
passenger,200-244,BURST_ONLY,450,2.831111111111111,1.968888888888889,0.6,0.6,0.25555555555555554,0.5977777777777777,0.14,0.14,0.24888888888888888,0.33111111111111113,0.04666666666666667,0.04666666666666667,0.23777777777777778,0.2644444444444444,0.028888888888888888,0.028888888888888888,0.2288888888888889
passenger,200-244,CROSS_FIELD_ONLY,450,2.4466666666666668,1.6866666666666668,0.5177777777777778,0.5177777777777778,0.22,0.3844444444444444,0.044444444444444446,0.044444444444444446,0.20666666666666667,0.24666666666666667,0.015555555555555555,0.015555555555555555,0.19555555555555557,0.19333333333333333,0.0022222222222222222,0.0022222222222222222,0.18222222222222223
passenger,200-244,PREDICTED_ONLY,450,0.23555555555555555,0.2088888888888889,0.013333333333333334,0.013333333333333334,0.14222222222222222,0.02666666666666667,0.0,0.0,0.02,0.013333333333333334,0.0,0.0,0.011111111111111112,0.0,0.0,0.0,0.0
passenger,200-244,PREDICTED_PLUS_WINNER,450,2.028888888888889,0.9666666666666667,0.26222222222222225,0.26222222222222225,0.17333333333333334,0.18666666666666668,0.0044444444444444444,0.0044444444444444444,0.15555555555555556,0.15333333333333332,0.0,0.0,0.14222222222222222,0.14666666666666667,0.0,0.0,0.13777777777777778
passenger,200-244,SAME_FIELD_ONLY,450,0.9288888888888889,0.5155555555555555,0.10666666666666667,0.10666666666666667,0.08666666666666667,0.1288888888888889,0.0,0.0,0.06222222222222222,0.09111111111111111,0.0,0.0,0.06,0.07777777777777778,0.0,0.0,0.057777777777777775
passenger,200-244,WINNER_ONLY,450,2.028888888888889,0.9666666666666667,0.26222222222222225,0.26222222222222225,0.17333333333333334,0.18666666666666668,0.0044444444444444444,0.0044444444444444444,0.15555555555555556,0.15333333333333332,0.0,0.0,0.14222222222222222,0.14666666666666667,0.0,0.0,0.13777777777777778
passenger,200-244,WITHOUT_BURST_ONLY,450,2.028888888888889,0.9666666666666667,0.26222222222222225,0.26222222222222225,0.17333333333333334,0.18666666666666668,0.0044444444444444444,0.0044444444444444444,0.15555555555555556,0.15333333333333332,0.0,0.0,0.14222222222222222,0.14666666666666667,0.0,0.0,0.13777777777777778
