field,record_range,observe_scenario,counterfactual_L_match,columns,ambiguous_column_rate,multiple_neuron_ambiguity_rate,mean_extra_passing_segments
time,0-49,scenario1,4,69,0.10144927536231885,0.10144927536231885,0.10144927536231885
time,0-49,scenario2,1,104,0.8461538461538461,0.8461538461538461,1.7115384615384615
time,0-49,scenario2,2,104,0.4807692307692308,0.4807692307692308,0.6057692307692307
time,0-49,scenario2,3,104,0.2980769230769231,0.2980769230769231,0.33653846153846156
time,0-49,scenario2,4,104,0.11538461538461539,0.11538461538461539,0.125
time,0-49,scenario3,1,259,0.3088803088803089,0.3088803088803089,0.4517374517374517
time,0-49,scenario3,2,259,0.05019305019305019,0.05019305019305019,0.05405405405405406
time,0-49,scenario3,3,259,0.007722007722007722,0.007722007722007722,0.007722007722007722
time,0-49,scenario3,4,259,0.0,0.0,0.0
time,100-149,scenario1,1,104,1.0,1.0,2.6346153846153846
time,100-149,scenario1,2,104,0.8269230769230769,0.8269230769230769,1.3557692307692308
time,100-149,scenario1,3,104,0.5961538461538461,0.5961538461538461,0.7788461538461539
time,100-149,scenario1,4,104,0.33653846153846156,0.33653846153846156,0.40384615384615385
time,100-149,scenario2,1,393,0.989821882951654,0.989821882951654,3.1424936386768447
time,100-149,scenario2,2,393,0.8600508905852418,0.8600508905852418,1.5852417302798982
time,100-149,scenario2,3,393,0.6539440203562341,0.6539440203562341,0.8727735368956743
time,100-149,scenario2,4,393,0.36895674300254455,0.36895674300254455,0.4351145038167939
time,100-149,scenario3,1,3,1.0,1.0,2.6666666666666665
time,100-149,scenario3,2,3,1.0,1.0,1.0
time,100-149,scenario3,3,3,1.0,1.0,1.0
time,100-149,scenario3,4,3,0.0,0.0,0.0
time,150-199,scenario1,1,107,1.0,1.0,2.317757009345794
time,150-199,scenario1,2,107,0.7383177570093458,0.7383177570093458,1.158878504672897
time,150-199,scenario1,3,107,0.4672897196261682,0.4672897196261682,0.5981308411214953
time,150-199,scenario1,4,107,0.205607476635514,0.205607476635514,0.2336448598130841
time,150-199,scenario2,1,390,0.9743589743589743,0.9743589743589743,2.4974358974358974
time,150-199,scenario2,2,390,0.7871794871794872,0.7871794871794872,1.2717948717948717
time,150-199,scenario2,3,390,0.5461538461538461,0.5461538461538461,0.6974358974358974
time,150-199,scenario2,4,390,0.30512820512820515,0.30512820512820515,0.33589743589743587
time,150-199,scenario3,1,3,1.0,1.0,1.6666666666666667
time,150-199,scenario3,2,3,0.0,0.0,0.0
time,150-199,scenario3,3,3,0.0,0.0,0.0
time,150-199,scenario3,4,3,0.0,0.0,0.0
time,200-244,scenario1,1,102,0.9803921568627451,0.9803921568627451,2.6372549019607843
time,200-244,scenario1,2,102,0.7941176470588235,0.7941176470588235,1.2647058823529411
time,200-244,scenario1,3,102,0.4215686274509804,0.4215686274509804,0.5392156862745098
time,200-244,scenario1,4,102,0.24509803921568626,0.24509803921568626,0.28431372549019607
time,200-244,scenario2,1,348,0.9942528735632183,0.9942528735632183,2.896551724137931
time,200-244,scenario2,2,348,0.867816091954023,0.867816091954023,1.5402298850574712
time,200-244,scenario2,3,348,0.6695402298850575,0.6695402298850575,0.867816091954023
time,200-244,scenario2,4,348,0.47988505747126436,0.47988505747126436,0.5660919540229885
time,50-99,scenario1,1,142,0.9788732394366197,0.9788732394366197,2.387323943661972
time,50-99,scenario1,2,142,0.6267605633802817,0.6267605633802817,0.9507042253521126
time,50-99,scenario1,3,142,0.30985915492957744,0.30985915492957744,0.36619718309859156
