field,record_range,observe_scenario,segment_row_count,denominator_scope,segment_synapse_count_mean,segment_actual_overlap_mean,weekday_source_ratio_all_segment_synapses,time_source_ratio_all_segment_synapses,passenger_source_ratio_all_segment_synapses
weekday,0-49,scenario2,464,all_preexisting_segment_rows_for_field_x_range_x_scenario,399.67241379310343,21.433189655172413,0.04705362150036668,0.4141430481860144,0.5388033303136189
weekday,0-49,scenario3,16,all_preexisting_segment_rows_for_field_x_range_x_scenario,387.5,1.0,0.03741935483870968,0.4206451612903226,0.5419354838709678
weekday,100-149,scenario1,229,all_preexisting_segment_rows_for_field_x_range_x_scenario,335.11353711790395,5.4847161572052405,0.0536479847799742,0.41198316414954195,0.5343688510704838
weekday,100-149,scenario2,1123,all_preexisting_segment_rows_for_field_x_range_x_scenario,284.64113980409616,8.339269813000891,0.05915808441680327,0.3807265401123722,0.5601153754708246
weekday,100-149,scenario3,14,all_preexisting_segment_rows_for_field_x_range_x_scenario,235.14285714285714,0.8571428571428571,0.05710814094775213,0.41190765492102066,0.5309842041312273
weekday,150-199,scenario1,560,all_preexisting_segment_rows_for_field_x_range_x_scenario,199.7357142857143,5.589285714285714,0.0796945964309981,0.39326967778850624,0.5270357257804956
weekday,150-199,scenario2,711,all_preexisting_segment_rows_for_field_x_range_x_scenario,266.16315049226444,8.180028129395218,0.06749558766024455,0.35672842180911213,0.5757759905306433
weekday,150-199,scenario3,16,all_preexisting_segment_rows_for_field_x_range_x_scenario,144.125,0.75,0.09540329575021683,0.4271465741543799,0.47745013009540327
weekday,200-244,scenario1,222,all_preexisting_segment_rows_for_field_x_range_x_scenario,157.481981981982,4.558558558558558,0.09270329796058466,0.4218986871084923,0.48539801493092305
weekday,200-244,scenario2,968,all_preexisting_segment_rows_for_field_x_range_x_scenario,272.66735537190084,8.072314049586776,0.06316539239681446,0.38488380022883817,0.5519508073743474
weekday,200-244,scenario3,14,all_preexisting_segment_rows_for_field_x_range_x_scenario,287.07142857142856,0.6428571428571429,0.0460313510823588,0.4244837024135357,0.5294849465041055
weekday,50-99,scenario1,229,all_preexisting_segment_rows_for_field_x_range_x_scenario,290.9781659388646,6.069868995633188,0.0539664435573431,0.4164390551370171,0.5295945013056398
weekday,50-99,scenario2,857,all_preexisting_segment_rows_for_field_x_range_x_scenario,356.79696616102683,9.757292882147025,0.04815305371596763,0.39409696672389827,0.5577499795601341
weekday,50-99,scenario3,18,all_preexisting_segment_rows_for_field_x_range_x_scenario,256.6666666666667,0.3888888888888889,0.05064935064935065,0.42077922077922075,0.5285714285714286
