task,elements,mean_moving_accuracy,std_moving_accuracy,completed_trials
single,15500,0.716,0.08199999999999999,10
single,15750,0.6910000000000001,0.06410148204214937,10
single,16000,0.67,0.05916079783099616,10
single,16250,0.673,0.052924474489596945,10
single,16500,0.6679999999999999,0.06013318551349162,10
single,16750,0.6729999999999999,0.08038034585643432,10
single,17000,0.659,0.08312039460926543,10
single,17250,0.674,0.07889233169326408,10
single,17500,0.661,0.08336066218546972,10
single,17750,0.6599999999999999,0.06340346993658942,10
single,18000,0.6809999999999999,0.062040309476984405,10
single,18250,0.693,0.07156116265125938,10
single,18500,0.6990000000000001,0.08030566605165541,10
single,18750,0.681,0.08395832299420945,10
single,19000,0.669,0.08383913167489272,10
single,19250,0.662,0.08795453370918407,10
single,19500,0.661,0.09256889326334199,10
single,19750,0.661,0.0884816365128946,10
single,20000,0.6639999999999999,0.059866518188383046,10
multiple-2,250,0.20977011494252876,0.033239066071083345,10
multiple-2,500,0.31129651276056886,0.04713218835905851,10
multiple-2,750,0.36646323756746074,0.05718264040584401,10
multiple-2,1000,0.45499999999999996,0.06248999919987197,10
multiple-2,1250,0.53,0.07071067811865474,10
multiple-2,1500,0.55,0.060332412515993424,10
multiple-2,1750,0.5820000000000001,0.051730068625510245,10
multiple-2,2000,0.6060000000000001,0.05332916650389352,10
multiple-2,2250,0.641,0.05682429058070147,10
multiple-2,2500,0.6759999999999999,0.07172168430816443,10
multiple-2,2750,0.7060000000000001,0.07378346698278689,10
multiple-2,3000,0.725,0.07978095010715278,10
multiple-2,3250,0.756,0.08452218643646175,10
multiple-2,3500,0.784,0.07459222479588605,10
multiple-2,3750,0.817,0.04583666654546335,10
multiple-2,4000,0.8300000000000001,0.05272570530585627,10
multiple-2,4250,0.8320000000000001,0.0647765389628066,10
multiple-2,4500,0.833,0.08567963585356791,10
multiple-2,4750,0.8320000000000001,0.08219489035213808,10
multiple-2,5000,0.833,0.081,10
multiple-2,5250,0.842,0.07520638270785267,10
multiple-2,5500,0.859,0.06394528911499267,10
multiple-2,5750,0.8550000000000001,0.06391400472509917,10
multiple-2,6000,0.866,0.06359245238233857,10
multiple-2,6250,0.868,0.06808817812219682,10
multiple-2,6500,0.8710000000000001,0.0716170370791755,10
multiple-2,6750,0.873,0.06708949247087803,10
multiple-2,7000,0.881,0.06268173577685926,10
multiple-2,7250,0.881,0.05699999999999999,10
multiple-2,7500,0.881,0.06699999999999998,10
multiple-2,7750,0.9,0.07099295739719537,10
multiple-2,8000,0.8960000000000001,0.0791454357496375,10
multiple-2,8250,0.8960000000000001,0.07787168933572712,10
multiple-2,8500,0.8960000000000001,0.0846404158779953,10
multiple-2,8750,0.9019999999999999,0.08863407922464135,10
multiple-2,9000,0.9119999999999999,0.07678541528180985,10
multiple-2,9250,0.913,0.07239475119095307,10
multiple-2,9500,0.916,0.06437390775772431,10
multiple-2,9750,0.9199999999999999,0.07293833011524187,10
multiple-2,10000,0.9189999999999999,0.07354590403278757,10
multiple-4,250,0.15126436781609195,0.06406991820926615,10
multiple-4,500,0.2312517046561465,0.055393792343051564,10
multiple-4,750,0.29633604546041586,0.03382612553656111,10
multiple-4,1000,0.379,0.03780211634287159,10
multiple-4,1250,0.438,0.0630555310817378,10
multiple-4,1500,0.469,0.07828793010419934,10
multiple-4,1750,0.48100000000000004,0.07034912934784623,10
multiple-4,2000,0.522,0.060794736614282655,10
multiple-4,2250,0.5650000000000001,0.07130918594402828,10
multiple-4,2500,0.613,0.06325345840347386,10
multiple-4,2750,0.637,0.069,10
multiple-4,3000,0.6689999999999999,0.0821522975941635,10
multiple-4,3250,0.7070000000000001,0.07950471684120383,10
multiple-4,3500,0.74,0.09284395510748127,10
multiple-4,3750,0.7689999999999999,0.07595393340703298,10
multiple-4,4000,0.773,0.06694027188471825,10
multiple-4,4250,0.7929999999999999,0.06116371473349212,10
multiple-4,4500,0.8019999999999999,0.06734983296193094,10
multiple-4,4750,0.8,0.08318653737234169,10
multiple-4,5000,0.8029999999999999,0.0798811617341661,10
multiple-4,5250,0.7929999999999999,0.09241753080449618,10
multiple-4,5500,0.804,0.09457272334029511,10
multiple-4,5750,0.8019999999999999,0.1019607767722471,10
multiple-4,6000,0.8150000000000001,0.08857200460642178,10
multiple-4,6250,0.8150000000000001,0.05987486951969083,10
multiple-4,6500,0.8029999999999999,0.08038034585643433,10
multiple-4,6750,0.7889999999999999,0.08312039460926543,10
multiple-4,7000,0.805,0.08212794895770867,10
multiple-4,7250,0.82,0.08613942186943213,10
multiple-4,7500,0.8300000000000001,0.06855654600401044,10
multiple-4,7750,0.836,0.06019966777316966,10
multiple-4,8000,0.8300000000000001,0.05138093031466051,10
multiple-4,8250,0.829,0.04887739763939975,10
multiple-4,8500,0.821,0.04928488612140643,10
multiple-4,8750,0.8210000000000001,0.05337602458033008,10
multiple-4,9000,0.805,0.06652067347825034,10
multiple-4,9250,0.805,0.07130918594402827,10
multiple-4,9500,0.7979999999999999,0.06523802572120037,10
multiple-4,9750,0.829,0.06187891401761993,10
multiple-4,10000,0.844,0.062000000000000006,10
