sentence_index,cycle,active_column,candidate_neuron,candidate_segment,predicted_time,actual_time,delta_t,predicted_sstd_rank,actual_sstd_rank,same_sstd_rank,candidate_passes_003,current_scenario,current_S1,current_S2A,current_S2B,current_S3_punished,new_segment_created,double_credit_failure
16,8,31,1,1651562757152,0.17278116861979176,0.05555555555555555,0.1172256130642362,14,2,False,False,scenario3,False,False,True,True,True,True
16,8,77,2,1651549277792,0.28496649848090283,0.1111111111111111,0.17385538736979173,55,3,False,False,scenario3,False,False,True,True,True,True
16,8,90,2,1651549497408,0.5067907714843642,0.16666666666666666,0.3401241048176976,53,4,False,False,scenario3,False,False,True,True,True,True
16,8,14,7,1651517075104,0.11829983181423631,0.2222222222222222,-0.1039223904079859,52,5,False,False,scenario2,False,True,False,True,False,True
16,8,6,3,1651516777216,0.1185183376736112,0.2777777777777778,-0.1592594401041666,61,6,False,False,scenario3,False,False,True,True,True,True
16,8,58,7,1651499281984,0.17455240885416656,0.4444444444444444,-0.26989203559027786,29,9,False,False,scenario3,False,False,True,True,True,True
17,2,76,2,1651562672928,0.11707790798611128,0.2222222222222222,-0.10514431423611093,3,5,False,False,scenario3,False,False,True,True,True,True
17,4,39,2,1651493172000,0.2270281304253472,0.2777777777777778,-0.050749647352430594,5,6,False,False,scenario3,False,False,True,True,True,True
17,6,62,6,1651566274000,0.22818901909722222,0.0,0.22818901909722222,5,1,False,False,scenario3,False,False,True,True,True,True
17,6,43,7,1651499409936,0.33960408528645836,0.1111111111111111,0.22849297417534725,17,3,False,False,scenario3,False,False,True,True,True,True
17,6,84,5,1651499434880,0.3949999999999916,0.16666666666666666,0.22833333333332492,18,4,False,False,scenario3,False,False,True,True,True,True
17,8,62,0,1651569623744,0.5059667968749892,0.2222222222222222,0.28374457465276703,19,5,False,False,scenario3,False,False,True,True,True,True
17,8,18,8,1651566238064,0.11707790798611128,0.5,-0.3829220920138887,12,10,False,False,scenario3,False,False,True,True,True,True
17,9,57,7,1651499560224,0.33999999999999275,0.3888888888888889,-0.04888888888889614,24,8,False,False,scenario3,False,False,True,True,True,True
18,1,67,8,1651562615808,0.004999999999999893,0.16666666666666666,-0.16166666666666676,11,4,False,False,scenario3,False,False,True,True,True,True
18,1,30,4,1651562541136,0.2837445746527778,0.5,-0.2162554253472222,15,10,False,False,scenario3,False,False,True,True,True,True
18,3,1,9,1651486503040,0.5064172363281143,0.0,0.5064172363281143,25,1,False,False,scenario3,False,False,True,True,True,True
18,3,60,0,1651569699552,0.004999999999999893,0.05555555555555555,-0.05055555555555566,1,2,False,False,scenario3,False,False,True,True,True,True
18,3,53,5,1651569689040,0.22818901909722222,0.3333333333333333,-0.10514431423611109,5,7,False,False,scenario3,False,False,True,True,True,True
18,3,77,9,1651549335584,0.5061145019531141,0.3888888888888889,0.11722561306422524,32,8,False,False,scenario3,False,False,True,True,True,True
18,3,20,4,1651549620368,0.22833672417534734,0.4444444444444444,-0.21610772026909708,15,9,False,False,scenario3,False,False,True,True,True,True
18,5,79,5,1651549192752,0.22818901909722222,0.3888888888888889,-0.16069986979166667,5,8,False,False,scenario3,False,False,True,True,True,True
18,6,80,2,1651549625216,0.1836991373697916,0.3888888888888889,-0.2051897515190973,1,8,False,False,scenario3,False,False,True,True,True,True
18,7,22,0,1651574202032,0.17263346354166664,0.2222222222222222,-0.04958875868055557,4,5,False,False,scenario3,False,False,True,True,True,True
19,1,26,1,1651551310080,0.0616700575086806,0.0,0.0616700575086806,2,1,False,False,scenario3,False,False,True,True,True,True
19,1,20,7,1651551307392,0.17278116861979176,0.3333333333333333,-0.16055216471354156,4,7,False,False,scenario3,False,False,True,True,True,True
19,4,13,4,1651493491472,0.4499999999999904,0.0,0.4499999999999904,33,1,False,False,scenario3,False,False,True,True,True,True
19,4,50,1,1651552286864,0.17278116861979176,0.1111111111111111,0.061670057508680654,13,3,False,False,scenario3,False,False,True,True,True,True
19,4,56,6,1651551907488,0.06182630750868068,0.4444444444444444,-0.38261813693576374,20,9,False,False,scenario3,False,False,True,True,True,True
19,4,1,7,1651562188288,0.061522352430555705,0.5,-0.4384776475694443,2,10,False,False,scenario3,False,False,True,True,True,True
19,6,27,7,1651549631264,0.11707790798611128,0.5,-0.3829220920138887,3,10,False,False,scenario3,False,False,True,True,True,True
19,8,87,3,1651551460608,0.006607666015624902,0.2222222222222222,-0.2156145562065973,1,5,False,False,scenario2,False,True,False,True,False,True
19,8,9,2,1651551454416,0.11771877712673606,0.3333333333333333,-0.21561455620659725,3,7,False,False,scenario2,False,True,False,True,False,True
19,8,61,6,1651566101808,0.22833672417534734,0.3888888888888889,-0.16055216471354156,32,8,False,False,scenario2,False,True,False,True,False,True
19,8,13,5,1651516769920,0.33999999999999275,0.4444444444444444,-0.10444444444445167,41,9,False,False,scenario2,False,True,False,True,False,True
19,8,3,6,1651562885968,0.004999999999999893,0.5,-0.4950000000000001,11,10,False,False,scenario2,False,True,False,True,False,True
20,2,67,3,1651486503424,0.004999999999999893,0.05555555555555555,-0.05055555555555566,1,2,False,False,scenario3,False,False,True,True,True,True
20,3,1,3,1651517580752,0.3969845920138888,0.0,0.3969845920138888,8,1,False,False,scenario3,False,False,True,True,True,True
20,3,19,3,1651517581328,0.2849999999999939,0.2222222222222222,0.06277777777777171,6,5,False,False,scenario3,False,False,True,True,True,True
20,6,13,3,1651549851376,0.17999999999999616,0.2222222222222222,-0.04222222222222605,4,5,False,False,scenario3,False,False,True,True,True,True
20,8,18,0,1651574008256,0.004999999999999893,0.05555555555555555,-0.05055555555555566,20,2,False,False,scenario2,False,True,False,True,False,True
20,8,80,8,1651549941648,0.007188720703125151,0.16666666666666666,-0.1594779459635415,31,4,False,False,scenario2,False,True,False,True,False,True
20,8,14,7,1651517075104,0.11874905056423612,0.2222222222222222,-0.10347317165798608,23,5,False,False,scenario2,False,True,False,True,False,True
20,8,57,7,1651549328960,0.17407389322916655,0.2777777777777778,-0.10370388454861124,43,6,False,False,scenario2,False,True,False,True,False,True
20,8,81,9,1651549812400,0.05999999999999872,0.5,-0.4400000000000013,17,10,False,False,scenario2,False,True,False,True,False,True
20,9,32,9,1651516827856,0.2840485297309028,0.16666666666666666,0.11738186306423612,6,4,False,False,scenario3,False,False,True,True,True,True
20,9,96,4,1651516821808,0.5062707519531144,0.2222222222222222,0.28404852973089223,10,5,False,False,scenario3,False,False,True,True,True,True
20,9,59,7,1651569669184,0.23396782769097224,0.5,-0.26603217230902776,23,10,False,False,scenario3,False,False,True,True,True,True
