task,elements,mean_moving_accuracy,std_moving_accuracy,completed_trials
multiple-2,2750,0.637,0.07184010022264722,10
multiple-2,3000,0.6599999999999999,0.07655063683601855,10
multiple-2,3250,0.687,0.08775534171775529,10
multiple-2,3500,0.704,0.08845337754998392,10
multiple-2,3750,0.738,0.07152621896899065,10
multiple-2,4000,0.749,0.05906775770248944,10
multiple-2,4250,0.758,0.06321392251711642,10
multiple-2,4500,0.761,0.08348053665376139,10
multiple-2,4750,0.754,0.07144228439796699,10
multiple-2,5000,0.751,0.08443340571124677,10
multiple-2,5250,0.756,0.09090654541890808,10
multiple-2,5500,0.758,0.08692525524840292,10
multiple-2,5750,0.762,0.08942035562443262,10
multiple-2,6000,0.77,0.08270429251254133,10
multiple-2,6250,0.775,0.07749193506423749,10
multiple-2,6500,0.775,0.07365459931328118,10
multiple-2,6750,0.779,0.07313685801290619,10
multiple-2,7000,0.772,0.07922120928135344,10
multiple-2,7250,0.779,0.07993122043357027,10
multiple-2,7500,0.773,0.0901165911472466,10
multiple-2,7750,0.7859999999999999,0.08924124606929242,10
multiple-2,8000,0.784,0.08924124606929243,10
multiple-2,8250,0.792,0.08726969691708572,10
multiple-2,8500,0.798,0.08784076502399099,10
multiple-2,8750,0.8150000000000001,0.08357631243360765,10
multiple-2,9000,0.8140000000000001,0.0801498596380555,10
multiple-2,9250,0.805,0.0718679344353238,10
multiple-2,9500,0.8009999999999999,0.0689129886160802,10
multiple-2,9750,0.796,0.09232551110067033,10
multiple-2,10000,0.807,0.09930256794262675,10
multiple-4,250,0.15459770114942528,0.0639172448518942,10
multiple-4,500,0.23972822910578612,0.05925988696209797,10
multiple-4,750,0.2905915313538328,0.049160724523289644,10
multiple-4,1000,0.369,0.05048762224545735,10
multiple-4,1250,0.413,0.059,10
multiple-4,1500,0.437,0.08414867794564569,10
multiple-4,1750,0.441,0.06378871373526825,10
multiple-4,2000,0.472,0.05287721626560916,10
multiple-4,2250,0.51,0.05531726674375732,10
multiple-4,2500,0.526,0.07255342858886821,10
