sentence_index,word_index,target_word,column,neuron,segment_index,candidate_score,response_peak,crossing_time,soma_firing_time,threshold_crossed,valid_firing_time,event_winner,column_winner,prediction_candidate,selected_by_current_path,selection_key
1,8,want,56,1,0,,0.5125869978225178,,,False,False,False,False,False,False,candidate_or_later
1,8,want,75,4,0,,0.5125869978225178,,,False,False,False,False,False,False,candidate_or_later
1,8,want,25,8,0,,0.5125869978225178,,,False,False,False,False,False,False,candidate_or_later
1,8,want,66,3,0,,0.5125869978225178,,,False,False,False,False,False,False,candidate_or_later
1,8,want,29,2,0,,0.5125869978225178,,,False,False,False,False,False,False,candidate_or_later
1,8,want,81,5,0,,0.5125869978225178,,,False,False,False,False,False,False,candidate_or_later
1,8,want,37,3,0,,0.5125869978225178,,,False,False,False,False,False,False,candidate_or_later
1,8,want,63,5,0,,0.5125869978225178,,,False,False,False,False,False,False,candidate_or_later
1,8,want,0,4,0,,0.5125869978225178,,,False,False,False,False,False,False,candidate_or_later
1,9,to,13,1,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,9,to,37,4,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,9,to,49,7,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,9,to,8,6,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,9,to,2,9,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,9,to,87,9,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,9,to,0,7,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,9,to,27,4,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,9,to,26,0,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,9,to,6,7,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,9,to,84,8,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
1,9,to,10,2,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
1,9,to,58,3,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
1,9,to,83,3,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
1,9,to,35,3,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
1,9,to,52,9,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
1,9,to,70,6,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
1,9,to,90,9,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
1,9,to,32,8,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
1,9,to,40,2,0,,0.61981155069937,,,False,False,False,False,False,False,candidate_or_later
1,9,to,41,2,0,,,,,False,False,False,False,False,False,candidate_or_later
1,9,to,56,1,0,,,,,False,False,False,False,False,False,candidate_or_later
1,9,to,75,4,0,,,,,False,False,False,False,False,False,candidate_or_later
1,9,to,25,8,0,,,,,False,False,False,False,False,False,candidate_or_later
1,9,to,66,3,0,,,,,False,False,False,False,False,False,candidate_or_later
1,9,to,29,2,0,,,,,False,False,False,False,False,False,candidate_or_later
1,9,to,81,5,0,,,,,False,False,False,False,False,False,candidate_or_later
1,9,to,37,3,0,,,,,False,False,False,False,False,False,candidate_or_later
1,9,to,63,5,0,,,,,False,False,False,False,False,False,candidate_or_later
1,9,to,0,4,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,78,8,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,10,see,23,6,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,10,see,12,0,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,10,see,57,1,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,10,see,38,0,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,10,see,18,8,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,10,see,11,1,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,10,see,68,2,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,10,see,88,3,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,10,see,81,4,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
1,10,see,97,6,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,29,4,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,65,1,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,36,2,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,3,3,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,8,5,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,72,0,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,98,7,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,13,4,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,51,9,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,67,3,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,8,2,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,7,1,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,4,7,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,24,5,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,30,0,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,76,9,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,3,5,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,99,8,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,59,8,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,13,1,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,37,4,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,49,7,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,8,6,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,2,9,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,87,9,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,0,7,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,27,4,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,26,0,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,6,7,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,84,8,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,10,2,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,58,3,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,83,3,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,35,3,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,52,9,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,70,6,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,90,9,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,32,8,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,40,2,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,41,2,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,56,1,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,75,4,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,25,8,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,66,3,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,29,2,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,81,5,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,37,3,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,63,5,0,,,,,False,False,False,False,False,False,candidate_or_later
1,10,see,0,4,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,86,6,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,34,9,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,43,8,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,11,8,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,39,2,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,42,4,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,1,1,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,52,4,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,97,9,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,15,2,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,97,6,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,29,4,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,65,1,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,36,2,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,3,3,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,8,5,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,72,0,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,98,7,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,13,4,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,51,9,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,5,0,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,76,5,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,50,7,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,57,2,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,83,7,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,94,5,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,78,1,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,20,9,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,79,4,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,1,9,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,67,3,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,8,2,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,7,1,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,4,7,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,24,5,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,30,0,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,76,9,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,3,5,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,99,8,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,59,8,0,,,,,False,False,False,False,False,False,candidate_or_later
2,2,Great,41,2,0,,0.5217308321535699,,,False,False,False,False,False,False,candidate_or_later
